Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
8638 Third edition 2010-07-01,Cadiovascular implants and extracorporeal blood circuit for hemodialyzers hemodialfilters and hemofilters,ObGyn/Gastroenterology/Urology,01/30/2014,ISO," "9-89
26722 Second edition 2014-04-01,Water treatment equipment for hemodialysis applications and related therapies,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-101
13958 Third edition 2014-04-01,Concentrates for haemodialysis and related therapies,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-97
13959 Third edition 2014-04-01,Water for haemodialysis and related therapies,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-98
11663 Second edition 2014-04-01,Quality of dialysis fluid for haemodialysis and related therapies,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-100
23500 Second edition 2014-04-01,Guidance for the preparation and quality management of fluids for haemodialysis and related therapies,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-99
F621-12 (Reapproved 2017),Standard Specification for Stainless Steel Forgings for Surgical Implants,Materials,06/07/2018,ASTM," "8-337
F67-13 (Reapproved 2017),Standard Specification for Unalloyed Titanium for Surgical Implant Applications (UNS R50250 UNS R50400 UNS R50550 UNS R50700),Materials,06/07/2018,ASTM," "8-356
52901 First edition 2017-08,Standard Guide for Additive Manufacturing - General Principles - Requirements for Purchased AM Parts,Materials,06/07/2018,ASTM ISO," "8-463
7176-19 Second Edition 2008-07-15 ,Wheelchairs Part 19: Wheeled mobility devices for use as seats in motor vehicles [Including AMENDMENT 1 (2015)],Physical Medicine,06/07/2018,ISO," "16-201
10993-5 Third edition 2009-06-01,Biological evaluation of medical devices - Part 5: Tests for in vitro cytotoxicity,Biocompatibility,12/23/2016,ISO," "2-245
10993-14 First edition 2001-11-15,Biological evaluation of medical devices - Part 14: Identification and quantification of degradation products from ceramics,Biocompatibility,07/26/2016,ISO," "2-170
10993-16 Third edition 2017-05,Biological evaluation of medical devices - Part 16: Toxicokinetic study design for degradation products and leachables,Biocompatibility,06/07/2018,ISO," "2-249
10993-10 Third Edition 2010-08-01,Biological evaluation of medical devices - Part 10: Tests for irritation and skin sensitization,Biocompatibility,07/26/2016,ISO," "2-174
10993-13 Second edition 2010-06-15,Biological evaluation of medical devices - Part 13: Identification and quantification of degradation products from polymeric medical devices,Biocompatibility,07/26/2016,ISO," "2-169
7199 Third edition 2016-11-15,Cardiovascular implants and artificial organs - Blood-gas exchangers (oxygenators). ,Cardiovascular,06/07/2018,ISO," "3-150
F2848-17 ,Standard Specification for Medical-Grade Ultra-High Molecular Weight Polyethylene Yarns,Materials,06/07/2018,ASTM," "8-460
NS28:1988/(R) 2015,Intracranial pressure monitoring devices,Neurology,06/07/2018,AAMI," "17-1
14708-3 Second edition 2017-04 ,Implants for surgery - Active implantable medical devices - Part 3: Implantable neurostimulators,Neurology,06/07/2018,ISO," "17-15
60601-2-10 Edition 2.1 2016-04 ,Medical electrical equipment - Part 2-10: Particular requirements for the basic safety and essential performance of nerve and muscle stimulators,Neurology,06/07/2018,IEC," "17-16
/TS 10993-20 First edition 2006-08-01,Biological evaluation of medical devices - Part 20: Principles and methods for immunotoxicology testing of medical devices,Biocompatibility,07/26/2016,ISO," "2-240
29943-2 First edition 2017-07,Condoms -- Guidance on clinical studies -- Part 2: Female condoms clinical function studies based on self-reports.,ObGyn/Gastroenterology/Urology,06/07/2018,ISO," "9-116
60601-2-18: Edition 3.0 2009-08,Medical electrical equipment - Part 2-18: Particular requirements for the basic safety and essential performance of endoscopic equipment,ObGyn/Gastroenterology/Urology,06/07/2018,IEC," "9-114
10993-12 Fourth edition 2012-07-01,Biological evaluation of medical devices - Part 12: Sample preparation and reference materials,Biocompatibility,07/26/2016,ISO," "2-191
ST79:2017,Comprehensive guide to steam sterilization and sterility assurance in health care facilities,Sterility,06/07/2018,ANSI AAMI," "14-511
F756-17,Standard Practice for Assessment of Hemolytic Properties of Materials,Biocompatibility,06/07/2018,ASTM," "2-250
10993-2 Second edition 2006-07-15,Biological Evaluation of medical devices - Part 2: Animal welfare requirements ,Biocompatibility,07/26/2016,ISO," "2-222
10993-3 Third edition 2014-10-1,Biological evaluation of medical devices - Part 3: Tests for genotoxicity carcinogenicity and reproductive toxicity,Biocompatibility,07/26/2016,ISO," "2-228
29943-1 First edition 2017-07.,Condoms -- Guidance on clinical studies -- Part 1: Male condoms clinical function studies based on self-reports,ObGyn/Gastroenterology/Urology,06/07/2018,ISO," "9-115
10993-17 First edition 2002-12-01,Biological evaluation of medical devices - Part 17: Establishment of allowable limits for leachable substances,Biocompatibility,07/26/2016,ISO," "2-237
5362 Fourth edition 2006-06-01,Anaesthetic Reservoir Bags,Anesthesiology,03/16/2012,ISO," "1-75
5359 Fourth edition 2014-10-01,Anaesthetic and respiratory equipment - Low-pressure hose assemblies for use with medical gases [Including AMENDMENT 1 (2017)],Anesthesiology,06/07/2018,ISO," "1-129
18082 First edition 2014-06-15 ,Anaesthetic and respiratory equipment - Dimensions of noninterchangeable screw-threaded (NIST) low-pressure connectors for medical gases [Including AMENDMENT 1 (2017)],Anesthesiology,06/07/2018,ISO," "1-130
/TR 37137 First edition 2014-05-15,Cardiovascular biological evaluation of medical devices - Guidance for absorbable implants,Biocompatibility,07/26/2016,ISO," "2-241
60601-2-2 Edition 6.0 2017-03,Medical electrical equipment - Part 2-2: Particular requirements for the basic safety and essential performance of high frequency surgical equipment and high frequency surgical accessories,General Plastic Surgery/General Hospital,08/21/2017,IEC," "6-389
5356-1 Third edition 2004-05-15,Anaesthetic and respiratory equipment - Conical connectors: Part 1: Cones and sockets,Anesthesiology,03/16/2012,ISO," "1-62
D7160-16,Standard Practice for Determination of Expiration Dating for Medical Gloves,General Plastic Surgery/General Hospital,06/07/2018,ASTM," "6-401
D6355-07 (Reapproved 2017) ,Standard Test Method for Human Repeat Insult Patch Testing of Medical Gloves,General Plastic Surgery/General Hospital,06/07/2018,ASTM," "6-214
F1670/F1670M-17,Standard Test Method for Resistance of Materials Used in Protective Clothing to Penetration by Synthetic Blood,General Plastic Surgery/General Hospital,06/07/2018,ASTM," "6-402
60601-2-21 Edition 2.1 2016-04,CONSOLIDATED VERSION Medical electrical equipment - Part 2-21: Particular requirements for the basic safety and essential performance of infant radiant warmers [Including: Amendment 1 (2016)],General Plastic Surgery/General Hospital,08/21/2017,IEC," "6-388
F1840-10 (Reapproved 2016) ,Standard Terminology for Surgical Suture Needles,General Plastic Surgery/General Hospital,06/07/2018,ASTM," "6-270
7886-1 Second edition 2017-05,Sterile hypodermic syringes for single use - Part 1: Syringes for manual use,General Plastic Surgery/General Hospital,06/07/2018,ISO," "6-404
80601-2-59 Edition 2.0 2017-09,Medical electrical equipment - Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening,General Plastic Surgery/General Hospital,06/07/2018,IEC," "6-405
F1862/F1862M-17,Standard Test Method for Resistance of Medical Face Masks to Penetration by Synthetic Blood (Horizontal Projection of Fixed Volume at a Known Velocity),General Plastic Surgery/General Hospital,06/07/2018,ASTM," "6-406
60601-2-20 Edition 2.1 2016-04 ,CONSOLIDATED VERSION Medical electrical equipment - Part 2-20: Particular requirements for the basic safety and essential performance of infant transport incubators [Including: Amendment 1 (2016)],General Plastic Surgery/General Hospital,08/21/2017,IEC," "6-386
60601-2-19 Edition 2.1 2016-04,CONSOLIDATED VERSION Medical electrical equipment - Part 2-19: Particular requirements for the basic safety and essential performance of infant incubators,General Plastic Surgery/General Hospital,08/21/2017,IEC," "6-385
11140-5 Second edition 2007-03-15,Sterilization of health care products - Chemical indicators - Part 5: Class 2 indicators for Bowie and Dick-type air removal tests ,Sterility,03/16/2012,ISO," "14-332
17665-1 First edition 2006-08-15,Sterilization of health care products - Moist heat - Part 1: Requirements for the development validation and routine control of a sterilization process for medical devices,Sterility,04/04/2016,ISO," "14-333
15882 Second edition 2008-09-01,Sterilization of health care products - Chemical indicators - Guidance for selection use and interpretation of results,Sterility,01/30/2014,ISO," "14-334
14161 Second edition 2009-09-15,Sterilization of health care products - Biological indicators - Guidance for the selection use and interpretation of results,Sterility,01/30/2014,ISO," "14-336
14937 Second edition 2009-10-15,Sterilization of health care products - General requirements for characterization of a sterilizing agent and the development validation and routine control of a sterilization process for medical devices,Sterility,04/04/2016,ISO," "14-337
11137-3 Second edition 2017-06,Sterilization of health care products - Radiation - Part 3: Guidance on dosimetric aspects of development validation and routine control,Sterility,06/07/2018,ISO," "14-510
20857 First edition 2010-08-15,Sterilization of health care products - Dry heat - Requirements for the development validation and routine control of a sterilization process for medical devices,Sterility,04/04/2016,ISO," "14-340
13408-3 First edition 2006-09-15,Aseptic processing of health care products - Part 3: Lyophilization,Sterility,09/09/2008,ISO," "14-239
13408-4 First edition 2005-11-01,Aseptic processing of health care products - Part 4: Clean-in-place technologies,Sterility,09/09/2008,ISO," "14-191
13408-5 First edition 2006-11-15,Aseptic processing of health care products - Part 5: Sterilization-in-place,Sterility,09/09/2008,ISO," "14-240
TS 17665-2:2009-01-15,Sterilization of health care products - Moist heat - Part 2: Guidance on the application of ISO 17665-1,Sterility,04/04/2016,ISO," "14-277
13408-7 First edition 2012-08-01,Aseptic processing of health care products - Part 7: Alternate processes for medical devices and combination products,Sterility,08/06/2013,ISO," "14-388
13408-6 First edition 2005-06-15,Aseptic processing of health care products - Part 6: Isolator systems [Including: Amendment 1 (2013)],Sterility,01/30/2014,ISO," "14-424
13408-1 Second edition 2008-06-15,Aseptic processing of health care products - Part 1: General requirements [Including: Amendment 1 (2013)],Sterility,01/30/2014,ISO," "14-427
11137-2 Third edition 2013-06-01,Sterilization of health care products - Radiation - Part 2: Establishing the sterilization dose,Sterility,04/04/2016,ISO," "14-409
11140-1 Third edition 2014-11-01 ,Sterilization of health care products - Chemical indicators - Part 1: General requirements,Sterility,08/14/2015,ISO," "14-460
7491 Second edition 2000-09-01 ,Dental materials - Determination of colour stability,Dental/ENT,06/07/2018,ISO," "4-241
80369-20 First edition 2015-05-15,Small-bore connectors for liquids and gases in healthcare applications - Part 20: Common test methods,General I (QS/RM),08/14/2015,ISO," "5-97
15223-1 Third Edition 2016-11-01,Medical devices - Symbols to be used with medical device labels labelling and information to be supplied - Part 1: General requirements,General I (QS/RM),08/21/2017,ISO," "5-117
80369-5: Edition 1.0 2016-03 ,Small-bore connectors for liquids and gases in healthcare applications - Part 5: Connectors for limb cuff inflation applications.[Including Corrigendum 1 (2017)] ,General I (QS/RM),08/21/2017,IEC," "5-107
60601-2-63 Edition 1.1 2017-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 2-63: Particular requirements for the basic safety and essential performance of dental extra-oral X-ray equipment,Radiology,06/07/2018,IEC," "12-310
60601-2-65 Edition 1.1 2017-05 CONSOLIDATED VERSION,Medical electrical equipment - Part 2-65: Particular requirements for the basic safety and essential performance of dental intra-oral-X-ray equipment,Radiology,06/07/2018,IEC," "12-311
61391-1 Edition 1.1 2017-07 CONSOLIDATED VERSION,Ultrasonics - Pulse-echo scanners - Part 1: Techniques for calibrating spatial measurement systems and measurement of system point-spread function response,Radiology,06/07/2018,IEC," "12-312
TS 62462 Edition 2.0 2017-07,Ultrasonics - Output test - Guide for the maintenance of ultrasound physiotherapy systems,Radiology,06/07/2018,IEC," "12-313
11554 Fourth edition 2017-07,Optics and photonics - Lasers and laser-related equipment - Test methods for laser beam power energy and temporal characteristics,Radiology,06/07/2018,ISO," "12-314
15798 Third edition 2013-09-15 15 [including AMENDMENT 1 (2017-05)],Ophthalmic implants - Ophthalmic viscosurgical devices,Ophthalmic,06/07/2018,ISO," "10-110
2900-2-1 First Edition 2017,Standard for Safety Software Cybersecurity for Network-Connectable Products Part 2-1: Particular Requirements for Network Connectable Components of Healthcare and Wellness Systems,Software/Informatics,06/07/2018,ANSI UL," "13-104
MS 8-2016,Characterization of the Specific Absorption Rate (SAR) for Magnetic Resonance Imaging Systems,Radiology,06/07/2018,NEMA," "12-315
62359 Edition 2.1 2017-09 CONSOLIDATED VERSION,Ultrasonics - Field characterization - Test methods for the determination of thermal and mechanical indices related to medical diagnostic ultrasonic fields,Radiology,06/07/2018,IEC," "12-316
/TR 13014 First edition 2012-05-15,Nanotechnologies - Guidance on physico-chemical characterization of engineered nanoscale materials for toxicologic assessment [Including CORRIGENDUM 1 (2012)].,Nanotechnology,06/07/2018,ISO," "18-9
29701 First edition 2010-09-15,Nanotechnologies - Endotoxin test on nanomaterial samples for in vitro systems - Limulus amebocyte lysate (LAL) test.,Nanotechnology,06/07/2018,ISO," "18-10
21563 First edition 2013-08-15,Dentistry - Hydrocolloid impression materials,Dental/ENT,06/07/2018,ISO," "4-240
Standard No. 53-2008 (R2013),Polymer-Based Crown and Bridge Materials,Dental/ENT,06/07/2018,ANSI ADA," "4-89
22112 First edition 2005-11-01,Dentistry - Artificial teeth for dental prostheses,Dental/ENT,01/30/2014,ISO," "4-151
3107 Fourth edition 2011-03-01,Dentistry - Zinc oxide/eugenol and zinc oxide/non-eugenol cements,Dental/ENT,01/30/2014,ISO," "4-198
27020 First edition 2010-12-15,Dentistry - Brackets and tubes for use in orthodontics,Dental/ENT,01/27/2015,ISO," "4-218
20127 First edition 2005-03-15,Dentistry - Powered toothbrushes - General requirements and test methods,Dental/ENT,08/21/2017,ISO," "4-238
11979-8 Third edition 2017-04,Ophthalmic implants - Intraocular lenses - Part 8: Fundamental requirements,Ophthalmic,06/07/2018,ISO," "10-105
18369-3 Second edition 2017-08,Ophthalmic optics - Contact lenses - Part 3: Measurement Methods,Ophthalmic,06/07/2018,ISO," "10-106
18369-4 Second edition 2017-08,Ophthalmic optics - Contact lenses - Part 4: Physicochemical properties of contact lens materials,Ophthalmic,06/07/2018,ISO," "10-107
18369-1 Second edition 2017-08,Ophthalmic optics - Contact lenses - Part 1: Vocabulary classification system and recommendations for labelling specifications,Ophthalmic,06/07/2018,ISO," "10-109
80001-1 Edition 1.0 2010-10,Application of risk management for IT-networks incorporating medical devices - Part 1: Roles responsibilities and activities,Software/Informatics,08/06/2013,IEC," "13-38
TR 80001-2-1 Edition 1.0 2012-07,Application of risk management for IT- networks incorporating medical devices - Part 2-1: Step-by-step risk management of medical IT-networks - Practical applications and examples,Software/Informatics,08/06/2013,IEC," "13-40
TR 80001-2-2 Edition 1.0 2012-07,Application of risk management for IT Networks incorporating medical devices - Part 2-2: Guidance for the disclosure and communication of medical device security needs risks and controls,Software/Informatics,08/06/2013,IEC," "13-42
TR 80001-2-3 Edition 1.0 2012-07,Application of risk management for IT Networks incorporating medical devices - Part 2-3: Guidance for wireless networks,Software/Informatics,08/06/2013,IEC," "13-44
/TR 80001-2-4 Edition 1.0 2012-11,Application of risk management for IT-networks incorporating medical devices -- Part 2-4: Application guidance - General implementation guidance for healthcare delivery organization,Software/Informatics,01/30/2014,IEC," "13-63
\TS 10974 Second edition 2018,Assessment of the safety of magnetic resonance imaging for patients with an active implantable medical device ,Materials,06/07/2018,ISO," "8-464
60601-2-33 Ed. 3.2 b:2015,Medical electrical equipment - Part 2-33: Particular requirements for the basic safety and essential performance of magnetic resonance equipment for medical diagnosis,Radiology,06/27/2016,IEC," "12-295
60601-2-37 Edition 2.1 2015,Medical electrical equipment - Part 2-37: Particular requirements for the basic safety and essential performance of ultrasonic medical diagnostic and monitoring equipment,Radiology,06/27/2016,IEC," "12-293
60601-2-45 Edition 3.1 2015,Medical electrical equipment - Part 2-45: Particular requirements for the basic safety and essential performance of mammographic X-ray equipment and mammographic stereotactic devices,Radiology,06/27/2016,IEC," "12-294
60601-2-44 Edition 3.2: 2016,Medical electrical equipment - Part 2-44: Particular requirements for the basic safety and essential performance of x-ray equipment for computed tomography,Radiology,06/27/2016,IEC," "12-302
10993-11 Third edition 2017-09,Biological evaluation of medical devices - Part 11: Tests for systemic toxicity,Biocompatibility,09/17/2018,ISO," "2-255
F720-17,Standard Practice for Testing Guinea Pigs for Contact Allergens: Guinea Pig Maximization Test,Biocompatibility,09/17/2018,ASTM," "2-256
5832-2 Fourth edition 2018-03,Implants for surgery - Metallic materials - Part 2:  Unalloyed titanium,Materials,09/17/2018,ISO," "8-465
F1044-05 (Reapproved 2017)e1,Standard Test Method for Shear Testing of Calcium Phosphate Coatings and Metallic Coatings,Materials,09/17/2018,ASTM," "8-112
F2213-17,Standard Test Method for Measurement of Magnetically Induced Torque on Medical Devices in the Magnetic Resonance Environment,Materials,09/17/2018,ASTM," "8-466
F1978-18,Standard Test Method for Measuring Abrasion Resistance of Metallic Thermal Spray Coatings by Using the Taber Abraser,Materials,09/17/2018,ASTM," "8-467
F2459-18,Standard Test Method for Extracting Residue from Metallic Medical Components and Quantifying via Gravimetric Analysis,Materials,09/17/2018,ASTM," "8-468
F560-17,Standard Specification for Unalloyed Tantalum for Surgical Implant Applications (UNS R05200 UNS R05400),Materials,09/17/2018,ASTM," "8-469
F1160-14 (Reapproved 2017)e1,Standard Test Method for Shear and Bending Fatigue Testing of Calcium Phosphate and Metallic Medical and Composite Calcium Phosphate/Metallic Coatings,Materials,09/17/2018,ASTM," "8-380
F2102-17,Standard Guide for Evaluating the Extent of Oxidation in Polyethylene Fabricated Forms Intended for Surgical Implants,Materials,09/17/2018,ASTM," "8-470
F1925-17,Standard Specification for Semi-Crystalline Poly(lactide) Polymer and Copolymer Resins for Surgical Implants,Materials,09/17/2018,ASTM," "8-471
F2537-06 (Reapproved 2017) ,Standard Practice for Calibration of Linear Displacement Sensor Systems Used to Measure Micromotion ,Materials,09/17/2018,ASTM," "8-412
F2847-17,Standard Practice for Reporting and Assessment of Residues on Single-Use Implants and Single-Use Sterile Instruments,Materials,09/17/2018,ASTM," "8-472
F2885-17,Standard Specification for Metal Injection Molded Titanium-6Aluminum-4Vanadium Components for Surgical Implant Applications ,Materials,09/17/2018,ASTM," "8-473
F2886-17,Standard Specification for Metal Injection Molded Cobalt-28Chromium-6Molybdenum Components for Surgical Implant Applications,Materials,09/17/2018,ASTM," "8-474
F2026-17,Standard Specification for Polyetheretherketone (PEEK) Polymers for Surgical Implant Applications,Materials,09/17/2018,ASTM," "8-475
F2004-17,Standard Test Method for Transformation Temperature of Nickel-Titanium Alloys by Thermal Analysis,Materials,09/17/2018,ASTM," "8-476
13781 Second edition 2017-07,Implants for surgery - Homopolymers copolymers and blends on poly(lactide) - In vitro degradation testing,Materials,09/17/2018,ISO," "8-479
F2267-04 (Reapproved 2018),Standard Test Method for Measuring Load Induced Subsidence of Intervertebral Body Fusion Device Under Static Axial Compression,Orthopedic,09/17/2018,ASTM," "11-185
F983-86 (Reapproved 2018),Standard Practice for Permanent Marking of Orthopaedic Implant Components,Orthopedic,09/17/2018,ASTM," "11-197
F565-04 (Reapproved 2018),Standard Practice for Care and Handling of Orthopedic Implants and Instruments,Orthopedic,09/17/2018,ASTM," "11-199
F1541-17,Standard Specification and Test Methods for External Skeletal Fixation Devices,Orthopedic,09/17/2018,ASTM," "11-322
F1089-18,Standard Test Method for Corrosion of Surgical Instruments,Materials,09/17/2018,ASTM," "8-478
F366-17,Standard Specification for Fixation Pins and Wires,Orthopedic,09/17/2018,ASTM," "11-324
F564-17,Standard Specification and Test Methods for Metallic Bone Staples,Orthopedic,09/17/2018,ASTM," "11-325
F3259-17,Standard Guide for Micro-computed Tomography of Tissue Engineered Scaffolds,Tissue Engineering,09/17/2018,ASTM," "15-55
F384-17,Standard Specifications and Test Methods for Metallic Angled Orthopedic Fracture Fixation Devices,Orthopedic,09/17/2018,ASTM," "11-326
F543-17,Standard Specification and Test Methods for Metallic Medical Bone Screws,Orthopedic,09/17/2018,ASTM," "11-327
F2180-17,Standard Specification for Metallic Implantable Strands and Cables,Orthopedic,09/17/2018,ASTM," "11-329
F382-17,Standard Specification and Test Method for Metallic Bone Plates,Orthopedic,09/17/2018,ASTM," "11-333
F1611-00 (Reapproved 2018),Standard Specification for Intramedullary Reamers,Orthopedic,09/17/2018,ASTM," "11-310
F1829-17,Standard Test Method for Static Evaluation of Anatomic Glenoid Locking Mechanism in Shear,Orthopedic,09/17/2018,ASTM," "11-334
F3141-17a,Standard Guide for Total Knee Replacement Loading Profiles,Orthopedic,09/17/2018,ASTM," "11-335
17853 Third edition 2011-03-01 ,Wear of implant materials - Polymer and metal wear particles - Isolation and characterization,Orthopedic,09/17/2018,ISO," "11-336
16087 First edition 2013-10-01,Implants for surgery - Roentgen stereophotogrammetric analysis for the assessment of migration of orthopaedic implants,Orthopedic,09/17/2018,ISO," "11-337
11491 First edition 2017-07 ,Implants for surgery - Determination of impact resistance of ceramic femoral heads for hip joint prostheses,Orthopedic,09/17/2018,ISO," "11-338
7206-2 Third edition 2011-04-01 AMENDMENT 1 2016-09-15,Implants for surgery - Partial and total hip joint prostheses - Part 2: Articulating surfaces made of metallic ceramic and plastics materials [Including AMENDMENT1 (2016) ],Orthopedic,09/17/2018,ISO," "11-339
F3018-17,Standard Guide for Assessment of Hard-on-Hard Articulation Total Hip Replacement and Hip Resurfacing Arthroplasty Devices,Orthopedic,09/17/2018,ASTM," "11-340
F3140-17,Standard Test Method for Cyclic Fatigue Testing of Metal Tibial Tray Components of Unicondylar Knee Joint Replacements,Orthopedic,09/17/2018,ASTM," "11-341
80601-2-61 Second edition 2017-12 (Corrected version 2018-02),Medical electrical equipment - Part 2-61: Particular requirements for basic safety and essential performance of pulse oximeter equipment,Anesthesiology,09/17/2018,ISO," "1-139
80601-2-55 Second edition 2018-02 ,Medical electrical equipment  - Part 2-55: Particular requirements for the basic safety and essential performance of respiratory gas monitors,Anesthesiology,09/17/2018,ISO," "1-140
ST40:2004/(R)2018,Table-top dry heat (heated air) sterilization and sterility assurance in health care facilities,Sterility,09/17/2018,ANSI AAMI," "14-294
F2825-18,Standard Practice for Climatic Stressing of Packaging Systems for Single Parcel Delivery,Sterility,09/17/2018,ASTM," "14-513
11737-1 Third edition 2018-01,Sterilization of health care products - Microbiological methods - Part 1: Determination of a population of microorganisms on product,Sterility,09/17/2018,ISO," "14-514
F3039-15,Standard Test Method for Detecting Leaks in Nonporous Packaging or Flexible Barrier Materials by Dye Penetration,Sterility,09/17/2018,ASTM," "14-516
F3293-18,Standard Guide for Application of Test Soils for the Validation of Cleaning Methods for Reusable Medical Devices,Sterility,09/17/2018,ASTM," "14-517
E667-98 (Reapproved 2017) ,Standard Specification for Mercury-in-Glass Maximum Self-Registering Clinical Thermometers,General Plastic Surgery/General Hospital,09/17/2018,ASTM," "6-123
10555-1 Second edition 2013-06-15 ,Intravascular catheters - Sterile and single-use intravascular catheters - Part 1: General requirements [Including AMENDMENT 1 (2017)],General Plastic Surgery/General Hospital,09/17/2018,ISO," "6-408
F703-18,Standard Specification for Implantable Breast Prostheses,General Plastic Surgery/General Hospital,09/17/2018,ASTM," "6-409
13408-2 Second edition 2018-01 ,Aseptic processing of health care products - Part 2: Sterilizing filtration.,Sterility,09/17/2018,ISO," "14-512
ST41:2008/(R)2018,Ethylene oxide sterilization in health care facilities:  Safety and effectiveness,Sterility,09/17/2018,ANSI AAMI," "14-275
ST50:2004/(R)2018,Dry heat (heated air) sterilizers,Sterility,09/17/2018,ANSI AAMI," "14-293
/TR 60601-4-2 Edition 1.0 2016-05,Medical electrical equipment - Part 4-2: Guidance and interpretation - Electromagnetic immunity: performance of medical electrical equipment and medical electrical systems,General II (ES/EMC),09/17/2018,IEC," "19-19
18250-3 First edition 2018-06,Medical devices - Connectors for reservoir delivery systems for healthcare applications - Part 3: Enteral application,General I (QS/RM),09/17/2018,ISO," "5-119
C63.15-2017 (Revision of ANSI C63.15-2010),American National Standard Recommended Practice for the Immunity Measurement of Electrical and Electronic Equipment,General II (ES/EMC),09/17/2018,ANSI IEEE," "19-31
60601-2-64 Edition 1.0 2014-09,Medical electrical equipment - Part 2-64: Particular requirements for the basic safety and essential performance of light ion beam medical electrical equipment,Radiology,09/17/2018,IEC," "12-318
60601-2-68 Edition 1.0 2014-09,Medical electrical equipment - Part 2-68: Particular requirements for the basic safety and essential performance of X-ray-based image-guided radiotherapy equipment for use with electron accelerators light ion beam therapy equipment and radionuclide beam therapy equipment,Radiology,09/17/2018,IEC," "12-319
62667 Edition 1.0 2017-08,Medical electrical equipment - Medical light ion beam equipment - Performance characteristics,Radiology,09/17/2018,IEC," "12-320
D903-98 (Reapproved 2017),Standard Test Methods for Peel or Stripping Strength of Adhesive Bonds,General I (QS/RM),09/17/2018,ASTM," "5-42
Standard 7351731 Rev. 2.00 2017-02-23,Medical Electrical Equipment and System Electromagnetic Immunity Test for Exposure to Radio Frequency Identification Readers - An AIM Standard,General II (ES/EMC),09/17/2018,AIM," "19-30
10139-1 Third edition 2018-03,Dentistry - Soft lining materials for removable dentures - Part 1: Materials for short-term use,Dental/ENT,09/17/2018,ISO," "4-242
TIR 41:2011/(R)2017,Technical Information Report Active implantable medical devices - Guidance for designation of left ventricle and implantable cardioverter defibrillator lead connectors and pulse generator connector cavities for implantable pacemakers and implantable cardioverter defibrillators,Cardiovascular,09/17/2018,AAMI," "3-110
60601-2-36 Edition 2.0 2014-04,Medical electrical equipment - Part 2-36:  Particular requirements for the safety of equipment for extracorporeally induced lithotripsy,ObGyn/Gastroenterology/Urology,09/17/2018,IEC," "9-119
D7661-10 (Reapproved 2017),Standard Test Method for Determining Compatibility of Personal Lubricants with Natural Rubber Latex Condoms,ObGyn/Gastroenterology/Urology,09/17/2018,ASTM," "9-67
F2743-11,Standard Guide for Coating Inspection and Acute Particulate Characterization of Coated Drug-Eluting Vascular Stent Systems,Cardiovascular,09/17/2018,ASTM," "3-153
POCT04 3rd Edition,Essential Tools for Implementation and Management of a Point-of-Care Testing Program,InVitro Diagnostics,09/17/2018,CLSI," "7-283
EP37 1st Edition,Supplemental Tables for Interference Testing in Clinical Chemistry,InVitro Diagnostics,09/17/2018,CLSI," "7-284
14708-1 Second edition 2014-08-15,Implants for surgery -- Active implantable medical devices -- Part 1: General requirements for safety marking and for information to be provided by the manufacturer,Cardiovascular,09/17/2018,ISO," "3-156
F3211-17,Standard Guide for Fatigue-to-Fracture (FtF) Methodology for Cardiovascular Medical Devices,Cardiovascular,09/17/2018,ASTM," "3-154
EP07 3rd Edition,Interference Testing in Clinical Chemistry.,InVitro Diagnostics,09/17/2018,CLSI," "7-275
M38 3rd Edition,Reference Method for Broth Dilution Antifungal Susceptibility Testing of Filamentous Fungi,InVitro Diagnostics,09/17/2018,CLSI," "7-276
GP41 7th Edition,Collection of Diagnostic Venous Blood Specimens,InVitro Diagnostics,09/17/2018,CLSI," "7-277
M27 4th Edition,Reference Method for Broth Dilution Antifungal Susceptibility Testing of Yeasts,InVitro Diagnostics,09/17/2018,CLSI," "7-278
M07 11th Edition,Methods for Dilution Antimicrobial Susceptibility Tests for Bacteria That Grow Aerobically,InVitro Diagnostics,09/17/2018,CLSI," "7-279
M02 13th Edition ,Performance Standards for Antimicrobial Disk Susceptibility Tests,InVitro Diagnostics,09/17/2018,CLSI," "7-280
16038 Second edition 2017-11 ,Male condoms - Guidance on the use of ISO 4074 and ISO 23409 in the quality management of condoms,ObGyn/Gastroenterology/Urology,09/17/2018,ISO," "9-117
8637-1 First edition 2017-11 ,Extracorporeal systems for blood purification -- Part 1: Haemodialysers haemodiafilters haemofilters and haemoconcentrators,ObGyn/Gastroenterology/Urology,09/17/2018,ISO," "9-118
D3492-16,Standard Specification for Rubber Contraceptives (Male Condoms),ObGyn/Gastroenterology/Urology,09/17/2018,ASTM," "9-120
7176-2 Third edition 2017-10,Wheelchairs - Part 2:Determination of dynamic stability of electrically powered wheelchairs,Physical Medicine,09/17/2018,ISO," "16-202
A18.1-2017 ,Safety Standard for Platform Lifts and Stairway Chairlifts,Physical Medicine,09/17/2018,ASME," "16-203
